Gene_name	Class	Order	Species_name	Unaligned_region	Gene_length	Normalized_value	left_gene
DLEU7	Reptilia	Testudines	Chelonoidis_abingdonii	309	3433	0.0900087 LOC121107650	LOC121107650
DLEU7	Reptilia	Testudines	Chrysemys_picta	279	3433	0.08127 LOC121107650	LOC121107650
DLEU7	Aves	Galliformes	Coturnix_japonica	3171	3433	0.923682 LOC121107650	LOC121107650
DLEU7	Reptilia	Crocodylia	Crocodylus_porosus	942	3433	0.274396 LOC121107650	LOC121107650
DLEU7	Lepidosauria	Squamata	Eublepharis_macularius	0	3433	0 LOC121107650	LOC121107650
DLEU7	Lepidosauria	Squamata	Euleptes_europaea	0	3433	0 LOC121107650	LOC121107650
DLEU7	Aves	Passeriformes	Ficedula_albicollis	1122	3433	0.326828 LOC121107650	LOC121107650
DLEU7	Aves	Passeriformes	Geospiza_fortis	1290	3433	0.375765 LOC121107650	LOC121107650
DLEU7	Reptilia	Testudines	Gopherus_evgoodei	256	3433	0.0745703 LOC121107650	LOC121107650
DLEU7	Lepidosauria	Squamata	Laticauda_laticaudata	0	3433	0 LOC121107650	LOC121107650
DLEU7	Actinistia	Coelacanthiformes	Latimeria_chalumnae	110	3433	0.0320419 LOC121107650	LOC121107650
DLEU7	Aves	Galliformes	Meleagris_gallopavo	2099	3433	0.611419 LOC121107650	LOC121107650
DLEU7	Lepidosauria	Squamata	Naja_naja	0	3433	0 LOC121107650	LOC121107650
DLEU7	Lepidosauria	Squamata	Notechis_scutatus	0	3433	0 LOC121107650	LOC121107650
DLEU7	Aves	Passeriformes	Parus_major	218	3433	0.0635013 LOC121107650	LOC121107650
DLEU7	Reptilia	Testudines	Pelodiscus_sinensis	580	3433	0.168948 LOC121107650	LOC121107650
DLEU7	Lepidosauria	Squamata	Podarcis_muralis	0	3433	0 LOC121107650	LOC121107650
DLEU7	Lepidosauria	Squamata	Podarcis_raffonei	0	3433	0 LOC121107650	LOC121107650
DLEU7	Lepidosauria	Squamata	Pogona_vitticeps_zw	0	3433	0 LOC121107650	LOC121107650
